제목1,제목2,유사도 측정(0~1)
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문대통령, 강원도 산불 현장 방문…이재민 위로",0.33333333333333326
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문 대통령, 강원도 고성 산불 현장 방문",0.33333333333333326
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","""산불 이후에도 개폐기 정상 작동""… 최초 발화 CCTV 찍혀",0.12765957446808507
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","[속보] 문재인 대통령, 고성군 토성면 대책본부 방문",0.19512195121951215
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",인천공항 사장 구본환 전 국토부 항공정책실장 내정,0.06976744186046513
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","[기상청 특보] 강원도 산불 강풍주의보 해제, 기다리던 비 소식 … 속초 고성 강릉 망상 동해산불 오늘 내일날씨 비상 건조주의보 미세먼지 일기예보",0.15625
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","산청군, ‘농촌 신활력 플러스 사업’ 선정",0.09302325581395343
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",산불에 초토화된 백두대간…하룻밤 새 여의도 1.8배 잿더미(종합),0.20408163265306123
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","마힌드라, 지난달 車 60만8596대 판매...전년比 11%↑",0.10204081632653061
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",산불에 주민 대피 중인데···‘재난 컨트롤타워’ 1시간 발 묶은 한국당,0.16000000000000003
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","국토부, 강원도 산불 지역 이재민에 긴급주거지원 방안 마련",0.2682926829268293
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","고 윤한덕·임세원 교수, 보건의날 정부 포상 수상",0.09090909090909094
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",고성·속초 산불...이번 피해가 더 컸던 이유,0.12195121951219512
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",부산청년 10명중 4명은 ‘결혼도 출산도 필요 없다’,0.06521739130434778
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",러시아 아스트라한 찾아 ‘나인브릿지’ 강조한 정현복 광양시장,0.1063829787234043
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","문정인의 분노 ""한국이 '1국가 2체제' 원한다고? 빅터 차의 거짓말""",0.09999999999999998
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",심야 긴급회의부터 화상보고까지…'산불'로 긴박했던 靑,0.08333333333333337
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",산불 났는데 청와대 안보실장 국회에 붙들어 둔 한국당의 해명 | 허프포스트코리아,0.08771929824561409
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)","부산 청년 절반이 오거돈 시장 ""불통"" 평가…文대통령 국정운영 ""잘하고 있다"" 40.4%",0.16666666666666663
"문 대통령 ""강원도 산불 피해 지역, 특별재난지역 지정 검토"" 지시(종합)",[에듀윌] 2022년까지 매년 3만명 이상 증원 전망…9급 공무원 열기 후끈,0.054545454545454564
